spcd,band,mfgID,year,month,day,sex,sex_method,age,wing,tarsus,wt,fat,lean,mlos,last_day,depart_night,depart_type,depart_time,array_nights
MAWA,2760-58121,7,2015,5,11,m,mol,SY,60,18.21,8.32,0.39,6.47,4,2015-05-14T00:00:00Z,2015-05-14T00:00:00Z,Uninterrupted,1.694262128,1
MAWA,2760-58109,8,2015,5,9,m,mol,SY,59,18.18,9.21,0.91,6.71,1,2015-05-09T00:00:00Z,2015-05-09T00:00:00Z,Uninterrupted,1.021874914,1
MAWA,2760-58114,9,2015,5,10,m,mol,SY,60,19.19,8.36,0.07,6.79,1,2015-05-10T00:00:00Z,2015-05-10T00:00:00Z,Interrupted,5.880444656,9
MAWA,2760-58101,10,2015,5,5,m,mol,ASY,60,17.2,7.89,0.44,5.93,3,2015-05-07T00:00:00Z,2015-05-07T00:00:00Z,Uninterrupted,2.249201706,1
MAWA,2760-58102,11,2015,5,7,m,mol,ASY,61,17.88,8.96,0.52,6.8,1,2015-05-07T00:00:00Z,2015-05-07T00:00:00Z,Uninterrupted,1.282535226,1
BTBW,2740-81120,12,2015,5,15,f,plum,SY,63,19.31,10.91,1.44,7.67,8,2015-05-22T00:00:00Z,2015-05-22T00:00:00Z,Uninterrupted,4.013087781,1
MAWA,2760-58411,15,2015,5,25,f,mol,SY,56,17.64,8.49,1.14,5.88,5,2015-05-29T00:00:00Z,2015-05-29T00:00:00Z,Uninterrupted,1.615247356,1
BTBW,2740-81119,17,2015,5,15,f,plum,ASY,61,17.08,10.59,1.52,7.42,1,2015-05-15T00:00:00Z,2015-05-15T00:00:00Z,Uninterrupted,0.782092699,1
MAWA,2760-58402,18,2015,5,25,f,mol,SY,58,16.4,7.3,-0.04,5.94,4,2015-05-28T00:00:00Z,2015-05-28T00:00:00Z,Uninterrupted,1.327474512,1
BTBW,2740-81104,19,2015,5,8,f,plum,ASY,60,18.49,10.03,1.21,7.04,2,2015-05-09T00:00:00Z,2015-05-09T00:00:00Z,Interrupted,4.881041554,7
BTBW,2740-81112,20,2015,5,12,m,plum,SY,64,18.44,10.35,1.48,7.21,12,2015-05-23T00:00:00Z,2015-05-23T00:00:00Z,Uninterrupted,0.74194727,1
