mfgID,departure_time
7,2015-05-14T22:16:53Z
8,2015-05-09T21:30:59Z
10,2015-05-07T22:41:23Z
11,2015-05-07T21:42:44Z
15,2015-05-29T22:23:35Z
17,2015-05-15T21:22:48Z
18,2015-05-28T22:02:55Z
20,2015-05-23T21:25:30Z
21,2015-05-15T23:44:55Z
22,2015-05-23T21:39:28Z
24,2015-05-17T21:28:32Z
26,2015-05-11T22:12:01Z
31,2015-05-09T01:10:32Z
33,2015-05-09T21:55:30Z
54,2015-05-08T21:09:07Z
277,2015-05-29T23:04:55Z
281,2015-05-26T22:30:07Z
287,2015-05-24T05:42:00Z
288,2015-05-28T21:38:07Z
289,2015-05-26T23:13:18Z
291,2015-05-23T22:31:03Z
292,2015-05-26T23:23:36Z
297,2015-05-28T23:01:04Z
300,2015-05-23T22:19:05Z
303,2015-05-23T22:41:39Z
405,2015-05-17T21:34:50Z
408,2015-05-11T21:40:39Z
409,2015-05-18T23:24:18Z
414,2015-05-22T21:51:53Z
417,2014-05-27T22:22:28Z
418,2014-05-21T21:22:00Z
420,2015-05-23T22:33:57Z
421,2015-05-28T21:55:35Z
422,2014-05-12T22:13:55Z
424,2014-05-20T23:14:38Z
425,2014-05-24T21:52:30Z
426,2014-05-15T01:06:22Z
427,2014-05-13T21:09:57Z
428,2014-05-11T21:55:38Z
431,2014-05-25T22:08:40Z
432,2014-05-13T22:58:04Z
433,2014-05-13T21:48:02Z
436,2014-05-18T21:54:01Z
442,2014-05-14T23:46:19Z
449,2014-05-20T03:45:59Z
450,2014-05-24T21:39:00Z
452,2014-05-15T00:57:00Z
455,2014-05-15T04:02:19Z
456,2014-05-26T23:44:30Z
458,2014-05-24T23:44:04Z
461,2014-05-19T23:13:47Z
462,2014-05-24T21:27:45Z
465,2014-05-22T23:34:44Z
466,2014-05-25T22:02:42Z
474,2014-05-21T21:28:03Z
480,2014-05-26T21:38:00Z
483,2014-05-11T23:14:50Z
485,2014-05-24T21:31:56Z
486,2014-05-19T23:29:36Z
487,2014-05-10T21:44:24Z
488,2014-05-11T22:55:00Z
490,2014-05-11T22:41:37Z
492,2014-05-13T21:50:47Z
